pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag,log_period,log_radius,log_insol,log_teff
Kepler-1167 b,Kepler-1167,2016.0,Transit,1.003933739,1.71,1039.697,1419.0,0.04911,1.4562,4971.0,0.75,0.79,-0.05,820.905,14.327,13.819,13.663,0.001705049725038259,0.23299611039215382,3.016906790836242,3.696443763138999
Kepler-1740 b,Kepler-1740,2021.0,Transit,8.172400475,3.32321414,127.95,858.0,0.08643,3.902,5705.0,0.905,0.943,-0.06,1061.77,14.093,13.698,13.695,0.9123496403663252,0.521558327081885,2.107040290223204,3.7562556487542333
Kepler-1581 b,Kepler-1581,2016.0,Transit,6.28385491,0.8,470.862,1108.0,0.00357,4.124,6022.0,1.23,1.12,0.07,493.175,11.331,11.106,11.025,0.7982261489150675,-0.09691001300805639,2.6728936429672006,3.7797407511767407
Kepler-280 c,Kepler-280,2014.0,Transit,4.807091,2.01,279.085,1088.0,0.04505,0.901,5744.0,0.886,0.962,0.1213,780.361,13.289,12.914,12.844,0.6818823435606791,0.30319605742048883,2.4457364950615768,3.759214431234244
Kepler-1208 b,Kepler-1208,2016.0,Transit,11.08507637,2.32,37.664,665.0,0.07718,1.708,5001.0,0.76,0.8,-0.03,825.176,14.42,13.923,13.788,1.0447386895078214,0.3654879848908996,1.5759264411633407,3.699056854547668
Kepler-263 c,Kepler-263,2014.0,Transit,47.332773,2.47,5.994,386.0,0.09755,3.069,5265.0,0.785,0.793,-0.0314,754.747,13.994,13.531,13.548,1.6751619484426525,0.39269695325966575,0.777716738609626,3.721398375521505
Kepler-1101 b,Kepler-1101,2016.0,Transit,81.3151059,2.47,3.577,393.0,0.07817,5.762,5614.0,0.91,0.94,-0.04,742.473,13.793,13.422,13.314,1.9101712319361732,0.39269695325966575,0.5535189401489695,3.7492724082984203
Kepler-560 b,Kepler-560,2016.0,Transit,18.47764449,1.72,2.46,298.0,0.2779,1.8777,3556.0,0.33,0.34,-0.39,109.308,12.276,11.671,11.455,1.2666466070249536,0.2355284469075489,0.39093510710337914,3.5509617522981762
Kepler-150 d,Kepler-150,2014.0,Transit,12.56093,2.79,65.142,734.0,0.09669,3.764,5560.0,0.939,0.956,0.12,891.092,13.817,13.422,13.367,1.0990217953658137,0.44560420327359757,1.8138610882115054,3.7450747915820575
Kepler-498 b,Kepler-498,2016.0,Transit,9.61375356,3.03,202.775,931.0,0.07979,4.7305,5744.0,0.96,0.98,-0.04,938.844,13.18,12.788,12.755,0.9828929851835282,0.48144262850230496,2.307014410072942,3.759214431234244
Kepler-937 b,Kepler-937,2016.0,Transit,67.668827,3.72,20.627,495.0,0.09611,9.623,6095.0,1.22,1.15,0.08,1571.46,14.025,13.764,13.681,1.8303886483049177,0.5705429398818975,1.3144360685845384,3.7849737099544005
K2-10 b,K2-10,2015.0,Transit,19.30553,3.773,42.1,649.0,0.1691,3.8064,5533.0,0.956,0.88,-0.07,272.36,11.059,10.75,10.645,1.2856817289290312,0.5766868052009956,1.6242820958356683,3.7429606702141522
Kepler-571 b,Kepler-571,2016.0,Transit,4.798599388,2.64,219.036,978.0,0.08174,2.9979,5527.0,0.9,0.93,0.01,723.875,13.41,13.046,12.986,0.6811144942868059,0.42160392686983106,2.340515499846756,3.7424894645817752
Kepler-1458 b,Kepler-1458,2016.0,Transit,47.9872764,2.76,8.293,493.0,0.09128,4.756,5653.0,0.94,0.96,0.02,544.45,12.936,12.57,12.509,1.681126101505302,0.4409090820652177,0.9187116653823212,3.752278985460119
Kepler-1600 c,Kepler-1600,2021.0,Transit,7.298049927,1.94206512,84.7,786.0,0.03705,3.024,5119.0,0.834,0.818,0.1,1030.81,14.351,13.903,13.896,0.8632068301092584,0.28826378828182253,1.927883410330707,3.7091851295502454
Kepler-221 d,Kepler-221,2014.0,Transit,10.04156,2.73,56.293,712.0,0.11553,2.53,5243.0,0.821,0.854,0.0616,385.231,12.413,11.995,11.9,1.0018011875861725,0.436162647040756,1.7504543939564905,3.719579857713723
Kepler-626 b,Kepler-626,2016.0,Transit,14.48585199,2.29,69.795,784.0,0.04571,2.7143,5813.0,1.05,1.01,0.01,635.643,12.781,12.438,12.388,1.1609440434592948,0.359835482339888,1.8438243115889486,3.764400322956388
K2-62 c,K2-62,2016.0,Transit,16.19697,1.99,14.3,495.0,0.0828,1.29,4455.0,0.696,0.67,-0.1,112.467,10.374,9.811,9.688,1.2094337777921569,0.29885307640970665,1.1553360374650619,3.6488477083728936
Kepler-1149 b,Kepler-1149,2016.0,Transit,3.73089898,1.44,653.831,1128.0,0.01912,2.807,5833.0,1.01,1.02,0.02,1217.73,13.739,13.412,13.301,0.5718134899889625,0.15836249209524964,2.8154655078775273,3.7658919764300154
Kepler-1288 b,Kepler-1288,2016.0,Transit,2.76122421,1.12,1342.5,2017.0,0.00678,3.662,6132.0,1.29,1.2,0.14,814.078,12.239,12.003,11.959,0.44110167256188354,0.04921802267018165,3.1279142943715934,3.7876021461823375
Kepler-128 b,Kepler-128,2013.0,Transit,15.0,1.421,227.398,968.0,0.00742,4.2108,6072.0,1.659,1.184,-0.03,396.379,10.373,10.094,10.109,1.1760912590556813,0.15259407792746976,2.3567866406824836,3.783331762887424
Kepler-1245 b,Kepler-1245,2016.0,Transit,4.35409304,1.44,194.344,1043.0,0.02771,2.313,5306.0,0.83,0.86,-0.01,805.936,14.001,13.57,13.519,0.6388977049822642,0.15836249209524964,2.288571137161188,3.7247672456463103
Kepler-1068 b,Kepler-1068,2016.0,Transit,16.92344113,3.63,55.933,702.0,0.11253,4.0618,5806.0,1.01,1.01,0.03,1473.61,14.638,14.319,14.161,1.2284886750045252,0.5599066250361125,1.7476681135979535,3.763877031495655
Kepler-311 c,Kepler-311,2014.0,Transit,19.738286,1.43,72.456,744.0,0.01681,4.86,5905.0,1.188,0.994,-0.03,778.654,12.751,12.47,12.418,1.2953094374389529,0.1553360374650618,1.8600743547347038,3.7712199019495336
Kepler-150 e,Kepler-150,2014.0,Transit,30.826557,3.12,19.671,544.0,0.07759,5.455,5560.0,0.939,0.956,0.12,891.092,13.817,13.422,13.367,1.4889250213401533,0.4941545940184428,1.2938264383861777,3.7450747915820575
Kepler-272 c,Kepler-272,2014.0,Transit,6.057342,1.79,310.76,947.0,0.03852,3.695,5297.0,0.929,0.91,0.04,889.608,13.159,12.833,12.708,0.782282094799134,0.2528530309798932,2.4924251127760866,3.7240299729355977
Kepler-152 c,Kepler-152,2014.0,Transit,88.255055,2.39,2.57,326.0,0.11322,4.036,5088.0,0.724,0.779,-0.12,441.09,12.853,12.488,12.301,1.9457395899321872,0.3783979009481377,0.4099331233312945,3.7065471026403576
Kepler-1506 b,Kepler-1506,2016.0,Transit,14.0329154,1.32,235.807,783.0,0.02109,6.844,5676.0,0.93,0.95,-0.05,2366.02,14.51,14.117,14.082,1.1471479069941566,0.12057393120584989,2.3725566931095807,3.7540423867854362
HD 3167 b,HD 3167,2016.0,Transit,0.959641,1.67,1650.0,1774.0,0.0294,1.609,5261.0,0.88,0.837,0.04,47.2899,7.548,7.203,7.066,-0.017891205375552867,0.22271647114758325,3.2174839442139063,3.721068301797159
HD 3167 c,HD 3167,2016.0,Transit,29.8454,3.0,16.9,564.0,0.0946,4.869,5261.0,0.88,0.837,0.04,47.2899,7.548,7.203,7.066,1.4748774038552233,0.47712125471966244,1.2278867046136734,3.721068301797159
Kepler-595 c,Kepler-595,2020.0,Transit,12.38602,1.009,50.23,679.0,0.01513,2.604,5138.5,0.821,0.93,0.406,643.009,13.335,12.94,12.862,1.0929317769397098,0.0038911662369104775,1.7009631781595493,3.710836360863743
Kepler-595 b,Kepler-595,2016.0,Transit,25.3029092,3.708,17.382,535.0,0.21057,4.5204,5138.5,0.821,0.93,0.406,643.009,13.335,12.94,12.862,1.4031704570205399,0.5691397254724595,1.2400997455874054,3.710836360863743
Kepler-18 b,Kepler-18,2011.0,Transit,3.504725,2.0,355.735,1165.0,0.0254,2.076,5345.0,1.108,0.972,0.19,433.047,12.189,11.873,11.756,0.5446539465058139,0.3010299956639812,2.5511265965860597,3.727947709544797
Kepler-4 b,Kepler-4,2009.0,Transit,3.21346,4.002,1245.431,1650.0,0.087,3.98235,5857.0,1.487,1.223,0.17,487.916,11.122,10.836,10.805,0.506972898337785,0.6022770843001926,3.0953196715358406,3.76767522402796
Kepler-59 c,Kepler-59,2012.0,Transit,17.9801235,1.98,107.741,752.0,0.02139,4.1249,6074.0,0.94,1.04,-0.2,1163.22,13.253,12.974,12.928,1.2547926704441683,0.2966651902615311,2.0323810021405695,3.7834747875822465
Kepler-58 c,Kepler-58,2012.0,Transit,15.5741568,2.86,64.389,799.0,0.04681,5.1013,5843.0,1.03,0.95,0.1,969.252,13.643,13.382,13.283,1.1924045428419554,0.456366033129043,1.8088116802892928,3.7666358863102674
