name|source_type|ra|dec|lii|bii|class
IGR J17091-3624|XB, BHC|17 09 02.0|-36 23 38|349.5242|2.2357|1000
IGR J17098-3628|LMXB?, BHC|17 09 46.0|-36 27 57|349.5542|2.0743|1400
IGR J17456-2901|Sgr A* ?|17 45 43.0|-28 59 28|359.9641|-0.0467|9999
IGR J17464-3213|LMXB,BHC|17 46 16.0|-32 14 00|357.2560|-1.8341|1400
IGR J17497-2821|LMXB, BHC|17 49 38.0|-28 21 18|0.9529|-0.4528|1400
IGR J18539+0727|XB, BHC|18 53 54.0|07 27 29|39.8544|2.8492|1000
SS 433|HMXB / Microquasar|19 11 50.0|04 58 58|39.6950|-2.2462|1100
SWIFT J1753.5-0127|LMXB, BHC|17 53 28.0|-01 27 09|24.8964|12.1867|1400
XTE J1726-476|XB, BHC|17 26 50.0|-47 38 23|342.2049|-6.9244|1000
XTE J1817-330|XB, BHC|18 17 44.0|-33 01 08|359.8179|-7.9970|1000
