pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag
"Kepler-1167 b","Kepler-1167",2016,"Transit",1.00393373900,1.71000000,1039.6970,1419.00,0.04911000,1.4562000,4971.00,0.750000,0.790000,-0.0500,820.90500000,14.3270000,13.8190000,13.6630000
"Kepler-1740 b","Kepler-1740",2021,"Transit",8.17240047500,3.32321414,127.9500,858.00,0.08643000,3.9020000,5705.00,0.905000,0.943000,-0.0600,1061.77000000,14.0930000,13.6980000,13.6950000
"Kepler-1581 b","Kepler-1581",2016,"Transit",6.28385491000,0.80000000,470.8620,1108.00,0.00357000,4.1240000,6022.00,1.230000,1.120000,0.0700,493.17500000,11.3310000,11.1060000,11.0250000
"Kepler-644 b","Kepler-644",2016,"Transit",3.17391710300,3.15000000,2381.7700,1655.00,0.03030000,3.5066000,6747.00,1.810000,1.490000,0.0800,1318.05000000,12.9210000,12.7250000,12.5740000
"Kepler-1752 b","Kepler-1752",2021,"Transit",56.35850143000,4.54060463,7.2900,419.00,0.25596000,6.9270000,5446.00,0.821000,0.824000,-0.2000,962.88800000,14.4730000,13.9840000,13.9990000
"Kepler-280 c","Kepler-280",2014,"Transit",4.80709100000,2.01000000,279.0850,1088.00,0.04505000,0.9010000,5744.00,0.886000,0.962000,0.1213,780.36100000,13.2890000,12.9140000,12.8440000
"Kepler-1208 b","Kepler-1208",2016,"Transit",11.08507637000,2.32000000,37.6640,665.00,0.07718000,1.7080000,5001.00,0.760000,0.800000,-0.0300,825.17600000,14.4200000,13.9230000,13.7880000
"Kepler-263 c","Kepler-263",2014,"Transit",47.33277300000,2.47000000,5.9940,386.00,0.09755000,3.0690000,5265.00,0.785000,0.793000,-0.0314,754.74700000,13.9940000,13.5310000,13.5480000
"Kepler-1101 b","Kepler-1101",2016,"Transit",81.31510590000,2.47000000,3.5770,393.00,0.07817000,5.7620000,5614.00,0.910000,0.940000,-0.0400,742.47300000,13.7930000,13.4220000,13.3140000
"Kepler-560 b","Kepler-560",2016,"Transit",18.47764449000,1.72000000,2.4600,298.00,0.27790000,1.8777000,3556.00,0.330000,0.340000,-0.3900,109.30800000,12.2760000,11.6710000,11.4550000
"Kepler-150 d","Kepler-150",2014,"Transit",12.56093000000,2.79000000,65.1420,734.00,0.09669000,3.7640000,5560.00,0.939000,0.956000,0.1200,891.09200000,13.8170000,13.4220000,13.3670000
"Kepler-498 b","Kepler-498",2016,"Transit",9.61375356000,3.03000000,202.7750,931.00,0.07979000,4.7305000,5744.00,0.960000,0.980000,-0.0400,938.84400000,13.1800000,12.7880000,12.7550000
"Kepler-937 b","Kepler-937",2016,"Transit",67.66882700000,3.72000000,20.6270,495.00,0.09611000,9.6230000,6095.00,1.220000,1.150000,0.0800,1571.46000000,14.0250000,13.7640000,13.6810000
"K2-10 b","K2-10",2015,"Transit",19.30553000000,3.77300000,42.1000,649.00,0.16910000,3.8064000,5533.00,0.956000,0.880000,-0.0700,272.36000000,11.0590000,10.7500000,10.6450000
"Kepler-571 b","Kepler-571",2016,"Transit",4.79859938800,2.64000000,219.0360,978.00,0.08174000,2.9979000,5527.00,0.900000,0.930000,0.0100,723.87500000,13.4100000,13.0460000,12.9860000
"Kepler-1458 b","Kepler-1458",2016,"Transit",47.98727640000,2.76000000,8.2930,493.00,0.09128000,4.7560000,5653.00,0.940000,0.960000,0.0200,544.45000000,12.9360000,12.5700000,12.5090000
