toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad
"1116.01","1116","PC",1,9.5268000,27.6999720,-75.8487740,5.0100708,2.0644756,409.4812214,2.3107394,210.6631712,971.6657708,5551.0000000,0.9062820
"1117.01","1117","PC",1,10.4055000,273.6020610,-66.4199740,2.2281625,2.0150000,630.0000000,2.5677800,702.9270000,1434.0000000,5731.0000000,1.0200000
"1125.01","1125","PC",1,8.0465000,298.2877080,-46.3699910,0.7724825,1.3744974,211.3168519,4.1624907,60276.5000547,3996.2877922,8271.0000000,2.5027299
"1131.01","1131","PC",1,9.2872000,248.4335450,61.7183340,0.5860366,0.8098934,410.5241553,4.9064080,26813.1057089,3263.6721812,5579.0000000,2.3980300
"1154.01","1154","PC",1,9.3188000,254.9240430,64.6992140,21.7455370,4.1960000,659.0000000,2.1020800,28.2504000,642.0000000,5704.0000000,0.9300000
"1187.01","1187","PC",1,9.9002000,162.8931760,81.3221740,2.5941968,0.8610000,907.0000000,4.4722900,300.0140000,1159.0000000,6389.0000000,1.4000000
"1204.01","1204","PC",1,8.0040000,169.1191090,-60.5676750,1.3812115,2.7372191,117.7553083,2.2402361,5767.3673643,2222.6145520,6711.0000000,1.7756799
"1205.01","1205","PC",1,8.3902000,127.1280170,-74.9547280,2.3922703,9.0053425,63.5751410,3.5905923,18015.5142019,2954.8226210,6090.0000000,4.1956000
"1207.01","1207","PC",1,9.2397000,116.5943290,-64.0560090,2.6282553,2.0930597,75.2858004,0.9817044,955.7979966,1418.1144376,6282.0000000,1.1074300
"1208.01","1208","PC",1,10.5924000,30.5087420,-83.2279620,3.4239436,1.9601023,443.6391381,1.7581475,294.3078003,1056.3800546,5626.0000000,0.8230190
"1208.02","1208","PC",2,10.5924000,30.5087420,-83.2279620,10.9830420,3.7478987,725.1724567,2.5070075,62.2119369,716.2888325,5626.0000000,0.8230190
"1208.03","1208","PC",3,10.5924000,30.5087420,-83.2279620,17.7264490,3.4404719,747.7725499,2.2616640,32.8605569,610.6445415,5626.0000000,0.8230190
"1209.01","1209","PC",1,9.5970000,73.5419180,-70.3791090,40.7199388,4.2436925,355.6193910,3.2352713,47.1436550,668.3063106,5914.0000000,1.5595300
"1211.01","1211","PC",1,9.8135000,31.1789330,-73.1267590,18.1663644,2.4640000,624.0000000,2.8044700,16.6472000,562.0000000,5572.9000000,1.1400000
"1214.01","1214","PC",1,10.0329000,285.0495190,-84.4481870,19.1807264,3.9621084,544.5602695,2.4311768,32.9407734,611.0168649,5262.4000000,0.9379730
"1215.01","1215","PC",1,10.4200000,146.8758500,-77.2968160,1.2124493,0.9984653,501.2911711,0.8794190,336.2098533,1092.1250255,3751.0000000,0.5180000
